127.0.0.1 - - [26/Apr/2022:21:40:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Apr/2022:21:40:50 +0900] "GET /JavaScript_jQuery_01/Chapter02/2_01.html HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [26/Apr/2022:21:41:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Apr/2022:21:41:05 +0900] "GET /JavaScript_jQuery_01/Chapter02/2_01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:21:42:25 +0900] "GET /JavaScript_jQuery_01/Chapter02/2_01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:21:45:34 +0900] "GET /JavaScript_jQuery_01/Chapter02/2_01.html HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [26/Apr/2022:21:47:09 +0900] "GET /JavaScript_jQuery_01/Chapter02/2_02.html HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [26/Apr/2022:21:49:05 +0900] "GET /JavaScript_jQuery_02/Chapter01/1_01.html HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [26/Apr/2022:21:53:56 +0900] "GET /JavaScript_jQuery_02/Chapter01/1_15.html HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [26/Apr/2022:21:54:11 +0900] "GET /JavaScript_jQuery_02/Chapter01/1_15.html HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [26/Apr/2022:21:55:19 +0900] "GET /JavaScript_jQuery_02/Chapter01/1_15.html HTTP/1.1" 304 -
